family_1_tr|A0A3C0YTJ9|A0A3C0YTJ9_9BACT	tr|D6PSX7|D6PSX7_9CAUD Putative capsid protein OS=Lactobacillus phage LBR48 OX=755164 PE=4 SV=1	0.262	179	117	6	73	241	79	252	5.416E-08	53
family_2_tr|L8EQJ9|L8EQJ9_STRR1	tr|A0A6N1NNH2|A0A6N1NNH2_9VIRU Type 2A encapsulin shell protein SrpI-like domain-containing protein OS=Tupanvirus soda lake OX=2126985 PE=4 SV=1	0.330	215	142	2	247	460	74	287	2.664E-32	132
family_2_tr|N9D6U3|N9D6U3_ACICA	tr|A0A6N1NRT6|A0A6N1NRT6_9VIRU Membrane protein OS=Tupanvirus deep ocean OX=2126984 PE=4 SV=1	0.357	277	175	2	17	292	13	287	7.594E-50	179
family_2_tr|Q2J566|Q2J566_FRACC	tr|A0A6N1NRT6|A0A6N1NRT6_9VIRU Membrane protein OS=Tupanvirus deep ocean OX=2126984 PE=4 SV=1	0.334	215	138	4	246	457	74	286	5.673E-27	115
family_2_tr|S3JGR5|S3JGR5_MICAE	tr|A0A6N1NRT6|A0A6N1NRT6_9VIRU Membrane protein OS=Tupanvirus deep ocean OX=2126984 PE=4 SV=1	0.329	279	181	3	18	294	13	287	4.178E-43	159
family_2_tr|V6JY20|V6JY20_STRRC	tr|A0A6N1NNH2|A0A6N1NNH2_9VIRU Type 2A encapsulin shell protein SrpI-like domain-containing protein OS=Tupanvirus soda lake OX=2126985 PE=4 SV=1	0.336	241	153	4	226	464	52	287	3.132E-31	128
family_2_tr|X7Y2H7|X7Y2H7_MYCKA	tr|A0A6N1NRT6|A0A6N1NRT6_9VIRU Membrane protein OS=Tupanvirus deep ocean OX=2126984 PE=4 SV=1	0.364	236	143	3	16	249	13	243	1.336E-40	151
family_3_tr|A0A1Q3HH28|A0A1Q3HH28_9DELT	tr|A0A8S5N4S1|A0A8S5N4S1_9CAUD Major capsid protein OS=Siphoviridae sp. ctaaA4 OX=2826388 PE=4 SV=1	0.270	203	124	5	101	280	211	412	8.512E-16	77
family_3_tr|A0A3A8J3F3|A0A3A8J3F3_9DELT	tr|A0A075IGZ4|A0A075IGZ4_9VIRU Major capsid protein (Fragment) OS=Alkalimonas phage phiMOL1.4-ST OX=1510624 PE=4 SV=1	0.246	211	128	8	94	275	79	287	2.483E-05	44
family_3_tr|A0A511T4S2|A0A511T4S2_MYXFU	tr|A0A7M1CIS8|A0A7M1CIS8_9CAUD Major capsid protein OS=Microbacterium phage Quenya OX=2776868 GN=7 PE=4 SV=1	0.247	251	170	5	49	281	140	389	1.862E-12	67
family_3_tr|G2NKG2|G2NKG2_STREK	tr|A0A6J5RMV1|A0A6J5RMV1_9CAUD Major_cap_HK97, phage major capsid protein, HK97 family OS=uncultured Caudovirales phage OX=2100421 GN=UFOVP1306_10 PE=4 SV=1	0.234	264	175	6	54	292	146	407	2.563E-14	73
family_1_tr|A0A1D8GDB7|A0A1D8GDB7_9CLOT	tr|D6PSX7|D6PSX7_9CAUD Putative capsid protein OS=Lactobacillus phage LBR48 OX=755164 PE=4 SV=1	0.264	159	109	4	18	174	15	167	7.879E-08	52
family_1_tr|A0A1F9FJK9|A0A1F9FJK9_9DELT	tr|D6PSX7|D6PSX7_9CAUD Putative capsid protein OS=Lactobacillus phage LBR48 OX=755164 PE=4 SV=1	0.234	128	98	0	15	142	16	143	4.429E-09	56
family_2_tr|A0A2K8QX32|A0A2K8QX32_9ACTN	tr|A0A6N1NRT6|A0A6N1NRT6_9VIRU Membrane protein OS=Tupanvirus deep ocean OX=2126984 PE=4 SV=1	0.303	214	146	2	241	452	74	286	9.930E-25	108
family_2_tr|A0A2M9MEC5|A0A2M9MEC5_9ACTN	tr|A0A6N1NNH2|A0A6N1NNH2_9VIRU Type 2A encapsulin shell protein SrpI-like domain-containing protein OS=Tupanvirus soda lake OX=2126985 PE=4 SV=1	0.313	214	147	0	248	461	74	287	2.221E-30	126
family_2_tr|A0A2N2SDJ6|A0A2N2SDJ6_9PROT	tr|A0A6N1NNH2|A0A6N1NNH2_9VIRU Type 2A encapsulin shell protein SrpI-like domain-containing protein OS=Tupanvirus soda lake OX=2126985 PE=4 SV=1	0.347	276	177	2	16	290	13	286	2.080E-46	169
family_2_tr|A0A2N8MTL1|A0A2N8MTL1_9PSEU	tr|A0A6N1NNH2|A0A6N1NNH2_9VIRU Type 2A encapsulin shell protein SrpI-like domain-containing protein OS=Tupanvirus soda lake OX=2126985 PE=4 SV=1	0.329	240	155	3	223	461	52	286	6.824E-32	130
family_2_tr|A0A2P7PRI3|A0A2P7PRI3_9ACTN	tr|A0A6N1NRT6|A0A6N1NRT6_9VIRU Membrane protein OS=Tupanvirus deep ocean OX=2126984 PE=4 SV=1	0.327	214	141	3	251	462	74	286	8.287E-27	115
