MGYP003964368011	PF19821	46	261
MGYP003960601751	CL0193	455	494
MGYP003964459847	PF05065	508	569
MGYP003966949055	CL0105	352	374
MGYP003970870015	PF04586	4	144
MGYP003974235361	PF17236	170	276
MGYP003959461619	PF05065	191	237
MGYP003683025115	PF05065	26	320
MGYP003975273899	PF07068	54	535
MGYP003964952687	PF07068	1	338
MGYP003957391261	PF11651	92	243
MGYP003964424657	PF17236	19	346
MGYP003966949055	PF03864	306	327
MGYP003683091017	CL0219	172	196
MGYP004105453633	PF05065	265	303
MGYP003996285317	CL0193	378	400
MGYP003956905883	PF05065	40	81
MGYP003957150581	PF19821	24	163
MGYP003879864571	PF00504	98	312
MGYP003879864571	PF03864	90	112
MGYP003968146765	CL0193	463	550
MGYP003965235731	PF05065	96	404
MGYP003681975921	PF03864	6	357
MGYP003998122779	PF07068	1	391
MGYP003681978043	PF05065	80	367
MGYP003967561397	PF05065	898	918
MGYP003965067489	PF05065	253	395
MGYP003964133375	PF07068	1	446
MGYP003756792065	PF05065	328	356
MGYP003968975309	CL0364	229	250
MGYP003967095805	PF04454	28	81
MGYP003964597299	PF03864	57	78
MGYP003970145099	CL0373	239	282
MGYP003964804521	PF13252	163	299
MGYP003969045689	PF05065	124	149
MGYP003965108023	CL0236	134	168
MGYP003756792065	PF10124	80	362
MGYP003976373759	PF07068	198	352
MGYP003681978353	PF05065	33	233
MGYP003964368011	PF19821	299	324
MGYP003959620119	PF17236	152	419
MGYP003968972085	PF07068	1	241
MGYP003964368011	PF19821	272	294
MGYP003996285317	PF07068	4	397
MGYP003964994161	PF07068	1	433
MGYP003962966989	PF19821	85	151
MGYP003756792065	PF05065	307	326
MGYP004317468775	PF05065	51	128
MGYP003968975309	PF13252	24	50
MGYP003879864571	PF03864	249	310
MGYP003967561687	PF19821	6	287
MGYP003998122779	PF00171	316	354
MGYP003964262373	PF05065	65	102
MGYP003964459847	PF07068	28	486
MGYP003966231125	PF05065	222	270
MGYP003956905883	PF05065	93	112
MGYP003682983727	PF05065	32	355
MGYP003965067489	PF05065	425	451
MGYP003969230479	PF07068	54	529
MGYP003681978043	CL0105	55	87
MGYP003970870015	PF05065	358	671
MGYP003965008453	PF05065	400	572
MGYP004105453633	PF05065	305	445
MGYP003996285317	CL0193	339	367
MGYP003681970701	PF17236	174	376
MGYP004317468775	PF05065	163	184
MGYP003879864571	PF03864	201	227
MGYP003960601751	CL0193	510	530
MGYP003683055183	PF10124	197	224
MGYP003956871495	PF07068	1	397
MGYP003965008453	PF05065	309	395
MGYP003999896697	PF07068	1	391
MGYP003964597299	CL0504	24	151
MGYP003970870015	CL0084	539	561
MGYP003957278597	PF05065	29	305
MGYP003982462987	PF05065	101	147
MGYP003965023667	CL0373	46	75
MGYP003683036115	PF05065	168	226
MGYP003998205801	PF07068	1	397
MGYP003971474241	PF07068	99	542
MGYP003959461619	PF05065	83	134
MGYP003966709089	PF05065	285	363
MGYP003683080945	PF07068	1	442
MGYP003967095805	PF00557	13	268
MGYP003683055183	PF05065	143	297
MGYP003968891869	PF07068	80	543
MGYP003961632451	PF07068	68	540
MGYP003700330551	PF19821	107	137
MGYP003996594435	PF11651	8	55
MGYP003681978739	PF19821	21	301
MGYP003966709089	PF05065	158	224
MGYP003964597299	CL0504	163	310
MGYP003681972643	PF07068	1	431
MGYP003962894435	PF07068	8	48
MGYP003964342629	PF05065	31	78
MGYP003964517929	PF13502	375	397
MGYP003990863457	PF11651	325	358
MGYP003683091017	CL0219	138	163
MGYP003966231125	PF13252	179	237
MGYP003964932851	PF03864	261	281
MGYP003976474597	PF03864	7	307
MGYP003969256679	PF07068	58	529
MGYP003990863457	PF11651	1	262
MGYP003967095805	CL0548	94	113
MGYP003964370039	PF07068	1	413
MGYP003964727907	PF07068	1	428
MGYP003965023667	PF07068	161	191
MGYP003964932851	CL0356	92	130
MGYP003957893759	PF07068	19	475
MGYP003959888101	PF07068	1	448
MGYP003969259285	PF17236	45	350
MGYP003964932851	PF03864	59	93
MGYP003959953617	PF07068	4	487
MGYP003681973109	PF17236	9	316
MGYP003965145415	PF07068	1	425
MGYP003970145099	CL0373	194	237
MGYP003957696183	CL0099	322	350
MGYP003965108023	PF05065	325	357
MGYP003964597299	PF03864	95	114
MGYP003960601751	PF07068	26	527
