Cluster,MGYP,Length,mW,pI,T_maritima_T1,M_xanthus_T3,S_elongatus_T1,Q_thermotolerans_T4,Closest Match,Longest Disordered Region (pLDDT)
0,MGYP003644569838,269,29.47469440000001,5.021918296813964,0.20716112531969308,0.2481203007518797,0.22358722358722355,0.23173803526448358,M_xanthus_T3,3.0
0,MGYP003119519882,245,26.520509799999992,5.283946037292479,0.24296675191815856,0.26065162907268175,0.27518427518427513,0.27455919395465994,S_elongatus_T1,3.0
0,MGYP003640677375,243,26.330299500000006,5.283548164367674,0.24296675191815856,0.2506265664160401,0.2678132678132678,0.26952141057934503,Q_thermotolerans_T4,2.0
0,MGYP003630051464,217,23.608320299999992,5.574847984313963,0.21483375959079284,0.2205513784461153,0.2285012285012285,0.22418136020151133,S_elongatus_T1,0.0
0,MGYP001198029016,221,24.047896199999997,5.539323616027831,0.22250639386189255,0.22807017543859648,0.23587223587223585,0.23173803526448358,S_elongatus_T1,0.0
0,MGYP003288402760,302,33.75589570000003,5.191525840759277,0.34782608695652173,0.37844611528822053,0.3955773955773956,0.38539042821158687,S_elongatus_T1,22.0
0,MGYP000126860043,302,33.61918700000001,8.146112251281739,0.34782608695652173,0.3709273182957394,0.4054054054054054,0.380352644836272,S_elongatus_T1,23.0
0,MGYP000234430346,302,33.54710760000002,8.157523155212402,0.35038363171355497,0.3709273182957394,0.41523341523341517,0.38539042821158687,S_elongatus_T1,23.0
0,MGYP000321450472,302,33.60511730000001,7.509192466735841,0.3452685421994885,0.3759398496240602,0.4029484029484029,0.38539042821158687,S_elongatus_T1,11.0
0,MGYP000451269290,306,34.30363510000002,5.88700771331787,0.33248081841432225,0.3458646616541354,0.4201474201474201,0.36272040302267,S_elongatus_T1,23.0
0,MGYP000646691163,306,34.27558200000002,5.88700771331787,0.3248081841432225,0.33834586466165417,0.4201474201474201,0.3551637279596977,S_elongatus_T1,23.0
0,MGYP003289347611,304,33.99503250000004,5.104334831237792,0.32225063938618925,0.3508771929824562,0.425061425061425,0.36272040302267,S_elongatus_T1,23.0
0,MGYP001774945722,302,33.722826800000036,5.2583116531372065,0.3375959079283887,0.3533834586466165,0.425061425061425,0.36775818639798485,S_elongatus_T1,23.0
0,MGYP003289565808,303,33.99028620000002,4.949505424499511,0.3350383631713555,0.3508771929824562,0.42751842751842745,0.36272040302267,S_elongatus_T1,23.0
0,MGYP000448240885,306,34.27657010000002,5.646124076843263,0.33248081841432225,0.3508771929824562,0.41277641277641275,0.36775818639798485,S_elongatus_T1,20.0
0,MGYP000634505699,349,39.05496040000003,5.9176439285278315,0.3248081841432225,0.3483709273182958,0.41523341523341517,0.36272040302267,S_elongatus_T1,60.0
0,MGYP001784225213,306,34.37870180000003,5.653399467468262,0.3350383631713555,0.3583959899749374,0.41031941031941027,0.37531486146095716,S_elongatus_T1,20.0
0,MGYP000589872918,306,34.348675800000024,5.653399467468262,0.3350383631713555,0.3558897243107769,0.40786240786240785,0.37531486146095716,S_elongatus_T1,20.0
0,MGYP001772895215,306,34.36467520000003,5.653399467468262,0.3375959079283887,0.3609022556390978,0.4054054054054054,0.380352644836272,S_elongatus_T1,20.0
0,MGYP000764163578,306,34.33464920000003,5.653399467468262,0.3375959079283887,0.3583959899749374,0.4054054054054054,0.380352644836272,S_elongatus_T1,20.0
0,MGYP000389299366,349,38.952871700000024,6.248162651062012,0.3350383631713555,0.3508771929824562,0.398034398034398,0.37027707808564225,S_elongatus_T1,44.0
0,MGYP000274412832,349,38.916796500000025,6.248162651062012,0.34782608695652173,0.3458646616541354,0.4054054054054054,0.36272040302267,S_elongatus_T1,47.0
0,MGYP000383995054,349,38.942833800000024,6.248162651062012,0.35294117647058826,0.3483709273182958,0.4054054054054054,0.36272040302267,S_elongatus_T1,43.0
0,MGYP003132112768,315,34.40059470000001,5.4331483840942365,0.329923273657289,0.3558897243107769,0.3587223587223587,0.3551637279596977,S_elongatus_T1,36.0
0,MGYP003342797786,299,33.1675516,5.71813907623291,0.37595907928388744,0.4135338345864662,0.37346437346437344,0.4181360201511335,Q_thermotolerans_T4,10.0
0,MGYP000843201297,322,36.17875009999999,4.9215406417846665,0.36061381074168797,0.39097744360902253,0.41277641277641275,0.4030226700251889,S_elongatus_T1,13.0
0,MGYP000115362497,322,36.1298068,4.9215406417846665,0.35294117647058826,0.37844611528822053,0.38329238329238324,0.3904282115869017,Q_thermotolerans_T4,30.0
0,MGYP000384898641,393,42.18240640000002,5.333282279968262,0.3887468030690537,0.4085213032581454,0.3562653562653562,0.397984886649874,M_xanthus_T3,14.0
0,MGYP000293575766,393,42.204458400000014,5.607303047180175,0.3887468030690537,0.3959899749373434,0.3562653562653562,0.397984886649874,Q_thermotolerans_T4,14.0
