MGYP000000639651	4	root:Host-associated:Mammals:Digestive system:Large intestine:Fecal
MGYP000001918706	2	root:Host-associated:Mammals:Digestive system:Large intestine:Fecal
MGYP000002868012	1	root:Environmental:Aquatic:Aquaculture
MGYP000002868012	13	root:Environmental:Aquatic:Marine
MGYP000005098346	4	root:Engineered:Wastewater:Activated Sludge
MGYP000010339471	1	root:Host-associated:Human:Digestive system:Large intestine:Fecal
MGYP000012059582	1	root:Host-associated:Human:Digestive system
MGYP000012059582	4	root:Host-associated:Human:Digestive system:Large intestine
MGYP000012059582	6	root:Host-associated:Human:Digestive system:Large intestine:Fecal
MGYP000013266575	2	root:Host-associated:Human:Digestive system:Large intestine
MGYP000013266575	3	root:Host-associated:Human:Digestive system:Large intestine:Fecal
MGYP000014250595	1	root:Host-associated:Human:Digestive system
MGYP000014250595	1	root:Host-associated:Human:Digestive system:Large intestine
MGYP000014413890	2	root:Host-associated:Human
MGYP000014413890	4	root:Host-associated:Human:Digestive system
MGYP000014413890	5	root:Host-associated:Human:Digestive system:Large intestine:Fecal
MGYP000014413890	2	root:Host-associated:Human:Digestive system:Oral
MGYP000014413890	4	root:Host-associated:Human:Digestive system:Oral:Saliva
MGYP000016510006	1	root:Host-associated:Human:Digestive system
MGYP000016510006	1	root:Host-associated:Human:Digestive system:Large intestine
MGYP000016510006	21	root:Host-associated:Human:Digestive system:Large intestine:Fecal
MGYP000016735148	32	root:Engineered:Wastewater
MGYP000016735148	4	root:Mixed
MGYP000020747349	2	root:Host-associated:Human
MGYP000020747349	15	root:Host-associated:Human:Digestive system
MGYP000020747349	29	root:Host-associated:Human:Digestive system:Large intestine
MGYP000020747349	93	root:Host-associated:Human:Digestive system:Large intestine:Fecal
MGYP000020747349	8	root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon
MGYP000020747349	2	root:Host-associated:Mammals:Digestive system:Fecal
MGYP000020747349	4	root:Host-associated:Mammals:Digestive system:Large intestine:Fecal
MGYP000022196991	1	root:Engineered:Bioremediation:Terephthalate:Wastewater
MGYP000022576213	1	root:Host-associated:Human:Digestive system
MGYP000026361128	2	root:Environmental:Aquatic:Marine
MGYP000026633983	7	root:Host-associated:Human:Digestive system
MGYP000026633983	4	root:Host-associated:Human:Digestive system:Large intestine
MGYP000026633983	38	root:Host-associated:Human:Digestive system:Large intestine:Fecal
MGYP000026633983	4	root:Host-associated:Mammals:Digestive system:Large intestine:Fecal
MGYP000037551163	25	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
MGYP000039861177	2	root:Host-associated:Human:Digestive system
MGYP000048668637	2	root:Host-associated:Human:Digestive system:Large intestine:Fecal
MGYP000061957562	12	root:Host-associated:Human:Digestive system
MGYP000061957562	4	root:Host-associated:Human:Digestive system:Large intestine
MGYP000061957562	7	root:Host-associated:Human:Digestive system:Large intestine:Fecal
